NOME,POPULATION
"TRES DE MAIO",23726
"TRES FORQUILHAS",2912
"TRES PALMEIRAS",4381
"TRES PASSOS",23973
"TUCUNDUVA",5901
"TUNAS",4395
"TUPANCI DO SUL",1574
"TUPANCIRETA",22286
"TUPANDI",3919
"TUPARENDI",8557
"TURUCU",3522
"UBIRETAMA",2296
"UNISTALDA",2453
"UNIAO DA SERRA",1487
"URUGUAIANA",125507
"VACARIA",61345
"VALE DO SOL",11077
"VALE REAL",5121
"VALE VERDE",3253
"VANINI",1984
"VENANCIO AIRES",65964
"VERA CRUZ",23986
"VERANOPOLIS",22815
"VESPASIANO CORREA",1974
"VIADUTOS",5311
"VIAMAO",239234
"VICENTE DUTRA",5285
"VICTOR GRAEFF",3036
"VILA FLORES",3207
"VILA LANGARO",2152
"VILA MARIA",4221
"VILA NOVA DO SUL",4221
"VISTA ALEGRE",2832
"VISTA ALEGRE DO PRATA",1569
"VISTA GAUCHA",2759
"VITORIA DAS MISSOES",3485
"WESTFALIA",2793
"XANGRI-LA",12405
